project_id,project_name,installed_capacity_kwp,project_type,asset_category,commercial_operation_date,state,city,distributor,operational_status,created_at,updated_at
PRJ_027,Solar Plant Oeste,3750.00,Carport,Remote Generation,,SP,Sorocaba,Distributor SP-02,Under Construction,2024-03-31 12:00:00,2024-05-30 14:00:00
PRJ_028,Solar Plant Leste,4000.00,Other,On-site Generation,2026-06-01,SP,Bauru,Distributor SP-03,Commissioning,2024-04-03 13:00:00,2024-05-03 15:00:00
PRJ_029,Solar Plant Sul,4200.00,Ground-mounted,Shared Generation,2022-11-01,RJ,Campos dos Goytacazes,Distributor RJ-01,Inactive,2024-04-06 14:00:00,2024-05-11 16:00:00
PRJ_030,Solar Plant Mata,4500.00,Roof-mounted,Other,2019-07-01,RJ,Volta Redonda,Distributor RJ-02,Decommissioned,2024-04-09 09:00:00,2024-05-19 11:00:00
PRJ_031,Solar Plant Prisma,4750.00,Carport,Remote Generation,2024-10-01,BA,Feira de Santana,Distributor BA-01,Operational,2024-04-12 10:00:00,2024-05-27 12:00:00
PRJ_032,Solar Plant Vértice,5000.00,Other,On-site Generation,,BA,Vitória da Conquista,Distributor BA-01,Under Construction,2024-04-15 11:00:00,2024-06-04 13:00:00
PRJ_033,Solar Plant Fênix,600.00,Ground-mounted,Shared Generation,2026-06-01,GO,Anápolis,Distributor GO-01,Commissioning,2024-04-18 12:00:00,2024-06-12 14:00:00
PRJ_034,Solar Plant Jade,850.00,Roof-mounted,Other,2021-09-01,GO,Rio Verde,Distributor GO-01,Inactive,2024-04-21 13:00:00,2024-06-20 15:00:00
PRJ_035,Solar Plant Ônix,1350.00,Carport,Remote Generation,2020-08-01,PE,Petrolina,Distributor PE-01,Decommissioned,2024-04-24 14:00:00,2024-05-24 16:00:00
PRJ_036,Solar Plant Safira,1750.00,Other,On-site Generation,2021-01-01,CE,Juazeiro do Norte,Distributor CE-01,Operational,2024-04-27 09:00:00,2024-06-01 11:00:00
PRJ_037,Solar Plant Granito,2350.00,Ground-mounted,Shared Generation,,PR,Londrina,Distributor PR-01,Under Construction,2024-04-30 10:00:00,2024-06-09 12:00:00
PRJ_038,Solar Plant Canário,2850.00,Roof-mounted,Other,2026-07-01,SC,Chapecó,Distributor SC-01,Commissioning,2024-05-03 11:00:00,2024-06-17 13:00:00
PRJ_039,Solar Plant Acácia,3300.00,Carport,Remote Generation,2020-07-01,RS,Santa Maria,Distributor RS-01,Inactive,2024-05-06 12:00:00,2024-06-25 14:00:00
PRJ_040,Solar Plant Estrela,3900.00,Other,On-site Generation,2019-09-01,MT,Rondonópolis,Distributor MT-01,Decommissioned,2024-05-09 13:00:00,2024-07-03 15:00:00
